ID_Pedido	ID_Cliente	Data_Entrada	Tipo_Pedido	ID_Material	Peso_KG	Complexidade_Peca	Prioridade_Interna	SLA	Status_Atual	Prazo_Cliente	Data_Conclusao	Valor_Final	Lucro_Prejuizo	Status_Financeiro
P08022	2	2024-07-23 13:35:39	Projeto Customizado	4	"881,84"	5	1	Baixo	Conclu�do	2024-10-22 13:35:39	2024-09-30 20:13:26	500000	"421898,8"	Sem atraso (Lucro normal)
P06797	30	2024-02-20 12:18:28	Projeto Customizado	3	"884,91"	5	1	M�dio	Atrasado	2024-04-09 12:18:28		500000	"421607,2"	Sem atraso (Lucro normal)
P03048	7	2024-07-14 20:00:07	Projeto Customizado	4	"1152,22"	5	2	Cr�tico	Conclu�do	2024-10-29 20:00:07	2024-08-14 23:07:04	500000	"421427,9"	Sem atraso (Lucro normal)
P08978	1	2024-08-22 20:19:19	Projeto Customizado	2	"420,42"	5	1	Alto	Em Produ��o	2024-11-16 20:19:19		500000	420537	Sem atraso (Lucro normal)
P09307	5	2024-10-10 04:29:39	Pe�a Complexa	4	"1194,61"	5	2	Cr�tico	Conclu�do	2024-12-03 04:29:39	2024-11-07 05:31:05	500000	"420296,45"	Sem atraso (Lucro normal)
P08594	6	2024-09-24 19:29:31	Projeto Customizado	6	"880,61"	5	2	Cr�tico	Conclu�do	2024-12-17 19:29:31	2024-11-04 09:48:54	500000	"419957,3"	Sem atraso (Lucro normal)
P03773	17	2024-07-18 03:47:47	Projeto Customizado	5	"799,04"	5	1	Cr�tico	Conclu�do	2024-10-24 03:47:47	2024-10-05 05:26:23	500000	"418857,6"	Sem atraso (Lucro normal)
P07490	1	2024-04-08 12:01:42	Projeto Customizado	4	"997,5"	5	1	Alto	Conclu�do	2024-06-28 12:01:42	2024-06-08 06:30:33	500000	"418737,5"	Sem atraso (Lucro normal)
P01368	11	2024-09-08 13:05:30	Projeto Customizado	4	"1061,82"	4	1	M�dio	Conclu�do	2024-12-31 13:05:30	2024-10-31 19:35:52	499900	"418299,9"	Sem atraso (Lucro normal)
P03101	18	2024-07-16 00:31:06	Projeto Customizado	3	"1005,53"	5	2	Alto	Em Produ��o	2024-10-17 00:31:06		500000	"417557,6"	Sem atraso (Lucro normal)
P05397	14	2024-01-09 12:14:34	Projeto Customizado	4	"1108,54"	4	1	M�dio	Conclu�do	2024-03-03 12:14:34	2024-02-29 01:46:37	500000	"417030,3"	Sem atraso (Lucro normal)
P05550	19	2024-12-12 21:28:16	Reparo Urgente	4	"1438,37"	5	1	Alto	Em Produ��o	2025-02-06 21:28:16		500000	"416889,65"	Sem atraso (Lucro normal)
P04257	8	2024-09-08 04:05:14	Reparo Urgente	1	"1071,87"	5	3	Cr�tico	Conclu�do	2024-11-24 04:05:14	2024-10-08 05:05:59	500000	"416728,45"	Sem atraso (Lucro normal)
P06831	19	2024-03-26 10:11:40	Projeto Customizado	4	"1022,14"	5	1	Alto	Conclu�do	2024-06-20 10:11:40	2024-05-27 08:09:21	500000	"416582,3"	Sem atraso (Lucro normal)
P06536	14	2024-11-18 07:04:42	Projeto Customizado	3	"896,98"	5	1	Baixo	Atrasado	2025-01-12 07:04:42		500000	"416241,6"	Sem atraso (Lucro normal)
P00820	27	2024-11-20 13:33:20	Reparo Urgente	5	"1005,19"	5	1	Baixo	Cancelado	2025-02-05 13:33:20		499200	"416088,6"	Sem atraso (Lucro normal)
P00738	13	2024-05-03 05:25:52	Reparo Urgente	6	"656,24"	5	1	Cr�tico	Em Produ��o	2024-06-28 05:25:52		467900	"415963,2"	Sem atraso (Lucro normal)
P05497	14	2024-11-01 15:33:29	Projeto Customizado	4	"1382,37"	5	1	Baixo	Atrasado	2025-01-17 15:33:29		500000	"415569,65"	Sem atraso (Lucro normal)
P04391	2	2024-02-14 08:43:12	Projeto Customizado	5	"1008,56"	5	2	M�dio	Conclu�do	2024-04-18 08:43:12	2024-03-20 05:49:43	491100	"414586,4"	Sem atraso (Lucro normal)
P08150	28	2024-09-29 00:52:40	Projeto Customizado	2	"530,46"	5	2	Cr�tico	Atrasado	2024-12-25 00:52:40		500000	414431	Sem atraso (Lucro normal)
P08189	16	2024-10-18 11:48:55	Reparo Urgente	6	"799,57"	4	1	Alto	Conclu�do	2025-01-16 11:48:55	2024-12-25 10:59:32	500000	"414030,1"	Sem atraso (Lucro normal)
P02367	12	2024-03-01 04:11:37	Reparo Urgente	3	"988,23"	5	1	Baixo	Em Produ��o	2024-05-20 04:11:37		500000	"413741,6"	Sem atraso (Lucro normal)
P05647	11	2024-06-09 18:38:06	Projeto Customizado	2	"450,65"	5	2	Alto	Cancelado	2024-09-07 18:38:06		500000	"413602,5"	Sem atraso (Lucro normal)
P04227	30	2024-12-24 15:36:15	Pe�a Complexa	4	"1427,71"	5	1	Alto	Atrasado	2025-03-21 15:36:15		500000	"413075,95"	Sem atraso (Lucro normal)
